author,title,description
Evan Jenkins,,U.S. Congressman representing West Virginia's 3rd district.
Progress Florida,,"Progress Florida is a liberal public interest group based in St. Petersburg, Fla."
American Crossroads,The PolitiFact scorecard,American Crossroads is a 527 campaign committee that supports Republican candidates.
Frank Lautenberg,Democrat from New Jersey,Frank Lautenberg is a Democratic senator representing New Jersey.
Tim Pawlenty,The PolitiFact scorecard,"Tim Pawlenty is the former governor of Minnesota, having served two terms in office from 2003-2011."
Mark Warner,Democrat from Virginia,"Mark Warner, a Democrat, has represented Virginia in the U.S. Senate since 2009. He serves on the Banking, Budget, Commerce and Intelligence committees. He is the honorary co-chairman of the Forward Together PAC. Warner gave the keynote address at the 2008 Democratic National Convention. Warner previously served as governor of Virginia from 2002 to 2006. He also ran unsuccessfully for the U.S. Senate in 1996. Before public office, Warner was an early investor in the cell phone business, co-founded the company that became Nextel. Warner was born in Indianapolis, Ind., and grew up in Illinois and Connecticut. Warner graduated from George Washington University, Washington, D.C. He received a law degree from Harvard Law School, Cambridge, Mass."
Ryan Lizza,,"Ryan Lizza is the Washington correspondent for The New Yorker, and also an on-air contributor for CNN. Lizza teaches at Georgetown University."
Ron Dermer,,Ron Dermer is the Israeli ambassador to the United States.
Eric Hovde,,"Eric Hovde, a hedge fund manager and businessman from Madison, entered politics by running for the Republican nomination for U.S. Senate in 2012. He finished second in the GOP primary."
Danny Tarkanian,Republican from Nevada,"Danny Tarkanian is a former college basketball star and the son of ex-UNLV coach Jerry Tarkanian. He has mounted several unsuccessful political campaigns in Nevada, most notably for the Republican U.S. Senate nomination in 2010, a race in which he placed third behind winner Sharron Angle."
Eric Johnson,,"Lobbyist Eric Johnson, a Republican, is a former Georgia state senator."
No Tax For Tracks,,No Tax For Tracks is a community organization in Pinellas County created to oppose budget increases for the Pinellas Suncoast Transit Authority.
Tomorrow's Vision of Florida,Democrat from Florida,"Tomorrow's Vision of Florida is an electioneering communication organization formed by former state legislator Edward Bullard and state Sen. Larcenia Bullard. Their son, Democratic state Rep. Dwight Bullard of Miami, is running in a state senate primary against Democratic leader and state Rep. Ron Saunders."
DuBose Porter,Democrat from Georgia,"DuBose Porter, a Democrat, was a longtime state legislator in Georgia and newspaper executive."
Ronnie Earle,Democrat from Texas,"Ronnie Earle, the former district attorney for Travis County, lost the 2010 Democratic primary for lieutenant governor to Linda Chavez-Thompson."
Patricia Fahy,Democrat from New York,"Represents Assembly District 109, in the Albany area."
Randy Forbes,Republican from Virginia,"Randy Forbes is from Chesapeake and represents Virginia's Fourth District in Congress. He was first elected to the House of Representatives in 2001. He serves on the Judiciary Committee and the Armed Services Committee, where he is chairman of the Seapower and Projection Forces Subcommittee. Forbes previously served in Virginia's House of Delegates from 1989 to 1997 and in the State Senate from 1997 to 2001. He also was chairman of the Republican Party of Virginia from 1996 to 2001. Forbes received a bachelor's degree from Randolph-Macon College, Ashland, in 1974, and a law degree from the University of Virginia, Charlottesville, in 1977."
Robert Hurt,Republican from Virginia,"Robert Hurt, Republican, represents Virginia's 5th District, which is composed of 19 counties and two independent municipalities and is Virginia's largest, in Congress. Hurt was first elected to the U.S. House in 2010. He serves on the Financial Services Committee and on its Capital Markets and Government Sponsored Enterprises and Housing and Insurance subcommittees. Hurt, a Pittsylvania County native, previously served in the Virginia House of Delegates from 2002 to 2007 and in the state senate from 2008 to 2010. Hurt graduated from Hampden-Sydney College, Hampden Sydney, in 1991 and earned a law degree from Mississippi College School of Law, Jackson, Miss., in 1995."
Travis Allen,Republican from California,"Travis Allen is a Republican and a member of the California State Assembly, representing the Orange County area. He is a 2018 candidate for California governor."
John Currie,Democrat from New Jersey,"John Currie, longtime chairman of the Passaic County Democratic Party, became chairman of the New Jersey Democratic State Committee in June 2013. John Currie was elected to the Paterson Branch NAACP Board from 1996 to 2004. During his tenure, he served as first Vice-President from 1998 thru 2001. He has served on the United Way of Passaic and Bergen County for many years. According to a biographical entry on the committee's website, Currie has been employed by Hawthorne Chevrolet for more than 30 years; he serves as its Corvette manager."
Barry Smitherman,Republican from Texas,"According to his Railroad Commission biographical information, Barry Smitherman was appointed to the state Public Utility Commission in 2004 and became chairman in 2007, then was appointed to the Railroad Commission in 2011 and became its chairman in 2012. Barry Smitherman lost his bid for attorney general of Texas in spring 2014."
John Robitaille,Republican from Rhode Island,"John Robitaille made an unsuccessful run for governor in 2010 as a Republican. A graduate of Providence College, Robitaille served five years in the Army, worked in employee and labor relations and served as communications director for Republican Gov. Donald Carcieri."
Antiwar.com,,Antiwar.com is a non-interventionist website division of the Randolph Bourne Institute.
David Pennington,None from Georgia,"David Pennington is mayor of Dalton, Ga."
William O'Brien,Republican from New Hampshire,William O'Brien is a Republican from Mont Vernon who serves as speaker of the New Hampshire House of Representatives.
Julian Assange,,"Julian Assange is one of the founders of the whistleblower Web site, Wikileaks."
Stuart Sternberg,None from Florida,Stuart Sternberg is the principal owner of the Tampa Bay Rays baseball team.
Steve Buckstein,Newsmaker from Oregon,"Steve Buckstein is senior policy analyst at the Cascade Policy Institute, a think tank that advocates for limited government and free-market policies."
Michael Turner,Republican from Ohio,"Michael Turner, a former mayor of Dayton, is a member of the House of Representatives from Ohio's 3rd District in the southwestern corner of the state."
Michelle Obama,Democrat from Illinois,"Michelle Obama is the wife of Barack Obama and the former First Lady of the United States. She is a graduate of Princeton University and Harvard Law School and has worked for the Mayor of Chicago and the University of Chicago. Michelle and Barack Obama have two daughters, Malia and Sasha."
Rebecca Bell-Metereau,,
Charles Schumer,Democrat from New York,Charles Schumer is a Democratic senator from New York and the Senate minority leader.
Nancy Nusbaum,Democrat from Wisconsin,"Nancy Nusbaum served as the mayor of De Pere, Wis., and as the county executive of Brown County, the home of Green Bay. She twice ran unsuccessfully for Congress -- once as a Democrat and once as a Republican. In 2011, as a Democrat, she unsuccessfully challenged state Sen. Robert Cowles, R-Allouez, in a recall election."
Tom Fanning,,"Tom Fanning is the chief executive officer of Southern Co., based in Atlanta. Southern Co. operates in four states and owns Georgia Power. He has been at the company for more than 30 years."
Mike Huckabee,Republican from Arkansas,Mike Huckabee ran for the Republican nomination for president in 2016. He is a former governor of Arkansas; he also sought the Republican presidential nomination in 2008. He left hosting a self-titled television show on Fox News in January 2015.
Robert Gibbs,,Robert Gibbs served as White House press secretary for President Barack Obama. He now is a Democratic consultant.
Karen Huber,Democrat from Texas,Precinct 3 covers western and southwestern Travis County (click for map). Karen Huber was initially elected in 2008. She lost her bid for re-election in 2012.
A C Wharton,,
Kirk Watson,Democrat from Texas,"Kirk Watson, who initially won his seat in the Texas Senate in 2006, was previously mayor of Austin. Earlier, he served on the Texas Air Control Board, precursor to the Texas Commission on Environmental Quality. He was the 2002 Democratic nominee for Texas attorney general."
David Bowen,Democrat from Wisconsin,"David Bowen is a Democratic member of the Wisconsin Assembly, representing a district in Milwaukee. he is a former member of the Milwaukee County Board of supervisors."
John Barrasso,Republican from Wyoming,John Barrasso is a Republican senator from Wyoming.
Devin Nunes,Republican from California,Devin Nunes is a Republican member of the U.S. House of Representatives representing a district in California. He serves as chairman of the House Intelligence Committee.
Bill McCollum,Republican from Florida,"Bill McCollum is a former Florida Attorney General. He campaigned to be governor and was defeated in the Republican primary on Aug. 24, 2010."
We Are Wisconsin,Organization from Wisconsin,We Are Wisconsin formed in summer 2011 for the state senate recall elections. It is a group composed of labor unions. We Are Wisconsin formed a political action committee and funded campaign advertising and other activities.
Nelson Wolff,Democrat from Texas,"Nelson Wolff, a former San Antonio member of the Texas House and Senate, also served on the San Antonio City Council before becoming mayor. In 2010, he won another term as Bexar County judge."
Jim Justice,Republican from West Virginia,"Jim Justice is the Republican governor of West Virginia. A businessman, Justice was originally elected as a Democrat."
Chris Moews,Democrat from Wisconsin,"Chris Moews is a lieutenant in the Milwaukee Police Department and was an unsuccessful candidate in the Aug. 12, 2014 Democratic primary election for Milwaukee County Sheriff."
Van Jones,"Democrat from Washington, D.C.","Van Jones is a host of CNN's Crossfire. A former environmental and human rights activist, Jones in 2009, served as the ""green jobs"" adviser to President Barack Obama. He is the author of two New York Times best-selling books, The Green Collar Economy (2008) and Rebuild the Dream (2012)."
Matt Lundy,Democrat from Ohio,"Matt Lundy is a member of the Ohio House of Representatives from the 57th District, which includes a portion of Lorain County."
Pat Robertson,Republican from Virginia,"Marion Gordon (Pat) Robertson is a conservative Christian businessman, broadcaster, educator and former Southern Baptist minister. He is chairman of the Christian Broadcast Network and CEO of Regent University in Virginia Beach, Va. He was born in 1930 in Lexington, Va., the son of Willis Robertson, a long-serving U.S. senator. He received a B.A. in history from Washington & Lee University and a law degree from Yale University. Robertson founded CBN in 1960 and became host of The 700 Club, a Christian news broadcast. He founded CBN University in 1977 and it was reneamed Regent University in 1989. In 1988, he unsuccessfully sought the Republican nomination for president."
Trebor Banstetter,None from Georgia,Delta Spokesman.
James Langevin,Democrat from Rhode Island,"James Langevin has represented Rhode Island's 2nd Congressional District since 2001. He was elected to the state's Constitutional Convention in 1986. Two years later, he won a seat as a State Representative and went on to become, at age 30, Rhode Island's youngest Secretary of State in 1995."
Janet Adkins,Republican from Florida,Janet Adkins lives in Fernandina Beach and was elected as a Republican to the state Legislature in 2008.
Choose: New Jersey,None from New Jersey,Choose: New Jersey is a nonprofit organization that markets the state to attract businesses and jobs to New Jersey.
John Kirby,"Democrat from Washington, D.C.","John Kirby was appointed as the Assistant Secretary for the Bureau of Public Affairs on December 11, 2015. Prior to that he served as the Spokesperson for the Department of State. Kirby previously served as Pentagon Press Secretary, serving for more than a year as the chief spokesman for the Department of Defense and for former Secretary of Defense Chuck Hagel. He retired from the Navy in May 2015 with the rank of Rear Admiral."
John Kitzhaber,Democrat from Oregon,"John Kitzhaber, a Democrat, was governor of Oregon for two terms, starting in 1995. He was inaugurated in 2011 for an unprecedented third term. He was elected to the Oregon Legislature in 1978, rising to the position of Senate President. He spearheaded the Oregon Health Plan as a legislator and as governor. Kitzhaber graduated from Dartmouth College and the University of Oregon Medical School (now Oregon Health & Science University). He worked as an emergency room physician in Roseburg from 1974 to 1988."
Brigid Shea,Democrat from Texas,"Brigid Shea, a former member of the Austin City Council, won election as the Precinct 2 member of the Travis County Commissioners Court in 2014. She earlier helped found Save Our Springs, a group devoted to protecting Barton Springs."
Raphael Warnock,None from Georgia,"The Rev. Raphael Warnock is the senior pastor of Ebenezer Baptist Church, located in Atlanta. The church's former pastors include the Rev. Martin Luther King Jr."
Ann Teich,None from Texas,"Ann Teich, initially elected to Austin's school board in 2012 and re-elected in 2012, represents District 3."
Delaine Eastin,Democrat from California,Delaine Eastin is a Democratic candidate for California governor. She served in the State Assembly from 1986 to 1994 and then as State Superintendent of Public Instruction from 1995 to 2003.
Florida Education Association,None from Florida,"Florida Education Association represents more than 250,000 teachers and education staff professional in Florida’s 67 school districts"
Jim Marston,Organization from Texas,"According to his biography at edf.org, Jim Marston is the founding director of the Texas office of the Environmental Defense Fund and the head of EDF's national energy program, and a leader of the Pecan Street, Inc., partnership of Austin Energy, the University of Texas, the Chamber of Commerce and tech companies."
Jon Husted,Republican from Ohio,Jon Husted is running as Mike DeWine's running mate for the 2018 Republican primary for governor. Husted was elected Ohio secretary of state in 2010. He previously was a state senator from Ohio's 6th district and served two terms as speaker of the Ohio House of Representatives.
Richard Codey,Democrat from New Jersey,Richard Codey is a Democratic state senator representing parts of Essex and Morris counties. Codey served as New Jersey governor from November 2004 to January 2006.
John Lewis,Democrat from Georgia,"Civil Rights icon John Lewis represents Georgia's 5th Congressional District. He was the recipient of the presidential Medal of Freedom, the nation's highest civilian honor, in February 2011. Lewis is the oldest surviving keynote speaker of the 1963 March on Washington."
Jerome Buting,,"Jerome Buting is a criminal defense lawyer based in the Milwaukee suburb of Brookfield, Wis. His past clients include Steven Avery, a Wisconsin man convicted of murder whose case is featured in the 2015 Netflix series ""Making A Murderer."""
Civitas Institute,None from North Carolina,Civitas is a Raleigh-based nonprofit organization that promotes conservative policies
Republican Party of Florida,The PolitiFact scorecard,The Republican Party of Florida represents Republicans in Florida.
Carolyn Medeiros,Newsmaker from Rhode Island,"Carolyn Mederios is executive director of the Alliance for Safe Communities, a nonprofit Rhode Island organization that monitors criminal justice issues and acts as an advocate for victims of crimes."
Chris Larson,Democrat from Wisconsin,"Chris Larson, a Milwaukee Democrat, was elected to the Wisconsin state Senate in November 2010. A former member of the Milwaukee County Board, he is a candidate for Milwaukee County executive in 2016."
Akbar Al Baker,None from Qatar,CEO of Qatar Airways
Helen Glover,Talk show host from Rhode Island,Helen Glover has been with WHJJ radio since 2005 and was a finalist in the 2002 season of the TV show Survivor.
PlantsNeedCO2.org,,"PlantsNeedCO2.org advocates that more carbon dioxide, the gas largely responsible for climate change, is good for the environment."
Peter King,Republican from New York,Peter King is a Republican member of the U.S. House of Representatives serving a district in New York. He is a senior member of the House Homeland Security Committee and the House Intelligence Committee.
Steve Lonegan,Republican from New Jersey,"The former mayor of Bogota in Bergen County, Steve Lonegan is the New Jersey director of Americans for Prosperity, a conservative advocacy group. Lonegan ran unsuccessfully in 2005 and 2009 for the Republican nomination for governor."
Tony Evers,Democrat from Wisconsin,"Tony Evers, a Democrat, was elected Wisconsin governor in November 2018. His term begins in January 2019. Evers has served as the Wisconsin superintendent of public instruction, a non-partisan position, since 2009. He previously worked as a teacher and school district administrator."
Put Alaska First PAC,None from Alaska,Put Alaska First is a political action committee supporting Democratic Sen. Mark Begich of Alaska.
Roy Cooper,Democrat from North Carolina,"Roy Cooper, a Democrat, is the governor of North Carolina. Previously he was the attorney general, a state senator and a state representative."
Jim Kenney,Democrat from Pennsylvania,Mayor of Philadelphia and former City Councilman
Progressive Change Campaign Committee and Democracy for America,,
Donald Carcieri,Republican from Rhode Island,"Donald Carcieri, a Republican, served as Rhode Island's governor from 2003 to 2010. He is a former CEO of Cookson America."
Matt Wingard,Republican from Oregon,Matt Wingard represents Oregon House District 26. He was first elected in 2008. He runs a public relations consulting firm in Wilsonville.
Jon Richards,,"Wisconsin state Rep. Jon Richards, D-Milwaukee, was elected to the state Assembly in 1998. He did not seek reelection in 2014 and was an unsuccessful candidate in the Aug. 12, 2014 primary election for state attorney general."
Jeff Stone,Republican from Wisconsin,"Jeff Stone has served as a Republican member of the Wisconsin state Assembly since 1998, representing southern Milwaukee County suburbs. He ran unsuccessfully for Milwaukee County executive in 2011."
Peter Roskam,Republican from Illinois,Roskam graduated from the University of Illinois before spending his early career in the office of Congressman Henry Hyde. He later earned his J.D. from Kent College of Law. Roskam has represented Chicago's western suburbs in both the Illinois House of Representatives and Senate. He is chief deputy whip and is now serving his fourth term.
Ron Stephens,Republican from Georgia,"Ron Stephens, a Republican, is a member of the Georgia House of Representatives. A pharmacist, Stephens was first sworn into office in 1997 and lives in Savannah."
Lisa Blais,Ocean State Tea Party in Action from Rhode Island,Lisa Blais is on the board of directors of Ocean State Tea Party in Action.
Mark Pocan,Democrat from Wisconsin,"Mark Pocan was elected to the U.S. House of Representatives in the 2nd Congressional District on Nov. 6, 2012. He is from Madison and previously served as a Democratic member of the Wisconsin state Assembly."
Tom Price,Republican from Georgia,"Rep. Tom Price is the Secretary of Health and Human Services in the Trump administration. Previously, he served in the U.S. House of Representatives for the 6th District of Georgia, an area that includes Marietta and Canton."
Sondy Pope,Democrat from Wisconsin,Sondy Pope was first elected in 2002 to the Wisconsin Assembly to represent the western parts of Madison and the surrounding area.
Karen Lewis,None from Illinois,Karen Lewis is president of the Chicago Teachers Union.
Elijah Cummings,Democrat from Maryland,Elijah E. Cummings is a member of the U.S. House of Representatives from Maryland.
Jon Erpenbach,Democrat from Wisconsin,Jon Erpenbach is a Democratic member of the Wisconsin state Senate. He was elected to a Madison-area district in 1998.
David Wyss,,David Wyss is the chief economist at Standard & Poor’s.
President Trump's lawyers,"Republican from Washington, D.C.",Lawyers representing President Donald Trump.
House Natural Resources Committee Republicans,,The Republicans on the House Natural Resources Committee
Jon Huntsman,Republican from Utah,Jon Huntsman was the governor of Utah from 2005 to 2009. He served as ambassador to China from 2009 to 2011. He is a Republican candidate for president in 2012.
Boyd Richie,Democrat from Texas,Boyd Richie served three terms as chairman of the Texas Democratic Party. He did not seek re-election in 2012.
Tom Palzewicz,,"Tom Palzewicz, a Democratic business owner from the Milwaukee suburb of Brookfield, is a 2018 candidate for the U.S. House seat held by Republican Jim Sensenbrenner."
John Cornyn,Republican from Texas,"John Cornyn is a U.S. senator from Texas, former Texas attorney general and former justice on the Texas Supreme Court. He earlier served as a Bexar County state district judge."
Ann Wagner,Republican from Missouri,Ann Wagner is a Republican representing a U.S. House district in Missouri.
Mike Pence,Republican from Indiana,"Mike Pence is vice president of the United States. A Republican, Pence was elected governor of Indiana in 2012. Pence previously served for 12 years as a congressman from Indiana representing the Sixth Congressional District; he was first elected in 2000. During his time in the U.S. House of Represenatives, he served as House Republican Conference chairman and chairman of the House Republican Study Committee. Pence was born in Columbus, Ind. He earned a bachelor's degree in 1981 from Hanover College and a law degree in 1986 from Indiana University. After accepting Donald Trump's offer to be running mate, Pence ended his 2016 campaign to be re-elected as Indiana governor."
Jerry Brown,Democrat from California,"Jerry Brown is the governor of California. A Democrat, he earlier served as governor of California from 1975 to 1983."
Robert Gates,,Robert Gates is the U.S. Secretary of Defense. He was first appointed by President George W. Bush in 2006 and was named to remain office by President Barack Obama in 2009.
Jeff Fitzgerald,Republican from Wisconsin,"Wisconsin Rep. Jeff Fitzgerald, R-Horicon, is the speaker of the state Assembly. He was elected to the Assembly in 2000. His brother is Wisconsin state Senate Majority Leader Scott Fitzgerald. In October 2011, Jeff Fitzgerald ran unsuccessfully for U.S. Senate in 2012."
Vicki Saporta,,Vicki Saporta has been president and CEO of the National Abortion Federation since 1995.
Joe Zepecki,,"Joe Zepecki, a Democrat, is the communications director for Mary Burke's 2014 campaign for governor of Wisconsin."
Pat Boone,,"Pat Boone is the spokesperson for the 60 Plus Association, a conservative political group that focuses on older Americans."
Kathleen Falk,The PolitiFact scorecard,"Kathleen Falk, a Wisconsin Democrat, lost a bid in 2012 for the Democratic nomination to run against Gov. Scott Walker in a recall election. Falk served as the Dane County executive from 1997 to 2011. She ran unsuccessfully for governor in 2002 and for state attorney general in 2006."
Mike Tate,,"Mike Tate is chairman of the Democratic Party of Wisconsin. He previously worked for Jim Doyle, the former Wisconsin governor, a public employee union and a voter mobilization organization."
Virginia Tea Party Patriots,,Virginia Tea Party Patriots is a statewide tea party federation of local Tea Party groups.
Doug Whitsett,Republican from Oregon,"Sen. Doug Whitsett, a former veterinarian, owns two small farms in the Klamath Basin, which breed and raise European Warmblood Horses for dressage and jumping. He is past president of the Oregon Veterinary Medical Association. He represents Senate District 28, Klamath Falls."
Ron Klein,Democrat from Florida,"Ron Klein is a former Democratic Congressman from South Florida, representing District 22 in South Florida from 2007-2011. He was defeated in a re-election campaign on Nov. 2, 2011."
Silvestre Reyes,Democrat from Texas,"Rep. Reyes, D-El Paso, was first elected to the U.S. House in 1996. He was the first Hispanic American in U.S. history to chair the House Permanent Select Committee on Intelligence, which drafts the laws that govern, fund and oversee the 16 agencies that comprise the U.S. intelligence community. He lost his bid for the Democratic nomination for the seat in 2012 to Beto O'Rourke, a member of the El Paso City Council."
Dream Defenders,None from Florida,"The Dream Defenders describe themselves as ""a human rights organization, directed by Black & Brown youth who confront Inequality & the Criminalizing of our Generation with nonviolent Direct Action and building of collective power in our communities."""
Conservative Solutions PAC,Organization from Florida,"Conservative Solutions PAC is a super political action committee based in Tampa, Fla., that supports Marco Rubio for president."
Wisconsin Manufacturers and Commerce,Organization from Wisconsin,"Wisconsin Manufacturers and Commerce is Wisconsin's largest business group. It says its members include large and small manufacturers, service companies, local chambers of commerce and specialized trade associations. WMC is also a lobbying organization and often gets involved in state political races."
Laurence Ehrhardt,Republican from Rhode Island,Laurence W. Ehrhardt was a State Representative from District 32 from 2005 through 2012.
"Virginia """"Jennie Lou"""" Leeder",,
True The Vote,,"True the Vote, which originated in Houston, describes itself as an ""initiative developed by citizens for citizens to inspire and equip volunteers for involvement at every stage of our electoral process and to actively protect the rights of legitimate voters regardless of race or party affiliation."""
Freedom PAC,Republican from Florida,"Freedom PAC is a super PAC supporting U.S. Rep. Connie Mack, R-Fla, who is seeking the Republican nomination for the U.S. Senate. Its slogan is ""supporting strong conservative candidates in Florida."""
Uber,None from Texas,Uber is a ride-sharing service with providers in many cities including Austin.
Mark Tapscott,,Mark Tapscott is the editorial page editor for the Washington Examiner.
Richard Cordray,Democrat from Ohio,Richard Cordray is running for Ohio governor in 2018. Cordray was appointed as the first director of the Consumer Financial Protection Bureau during President Barack Obama's administration. He is the former attorney general of Ohio and a Democrat.
Brian Wilson,None from Oregon,"Brian Wilson has a long history of community service, though no elected experience. Most notably, he led the Multnomah County Library’s successful 2012 campaign to get win voter approval for a library district."
Gwen Graham,Democrat from Florida,Gwen Graham lost the Democratic primary for governor in Florida in 2018. She won Florida's second district seat in the U.S. House in 2014 and served for one term. She is the daughter of former Florida Gov. Bob Graham.
Workers' Voice,None from District of Columbia,"Workers' Voice is a ""super PAC"" affiliated with the AFL-CIO"
Victoria Taft,None from Oregon,Victoria Taft is a conservative talk show host on KPAM radio.
Texas Public Policy Foundation,None from Texas,The Texas Public Policy Foundation is a conservative research institute in Austin.
Rob Turner,Republican from Florida,Rob Turner is the Hillsborough County Property Appraiser.
Jay Webber,Republican from New Jersey,"Jay Webber is a Republican state Assemblyman representing parts of Essex, Morris and Passaic counties. Webber previously served as chairman of the state Republican Party."
Seth Magaziner,Democrat from Rhode Island,"Seth Magaziner is a Democrat who was elected Rhode Island General Treasurer in 2014. He is a former vice president at Trillium Asset Management, an investment firm in Boston. He has a bachelors degree in history from Brown University and a masters in business administration from Yale University."
John Oliver,The PolitiFact scorecard,"John Oliver is the host of ""Last Week Tonight"" on HBO. Previously he was a correspondent for Comedy Central's ""The Daily Show."""
Matthew Dowd,Independent from Texas,"Matthew Dowd is an ABC News analyst and founder of a social-impact venture fund based in Austin, Texas. Now an independent, he served as chief political strategist to President George W. Bush and as a senior adviser to the Republican National Committee."
Bill Flores,Republican from Texas,Bill Flores of Bryan was initially elected to the U.S. House in 2010.
Danielle Pletka,"None from Washington, D.C.","Danielle Pletka is senior vice president for foreign and defense policy studies at the American Enterprise Institute, a conservative think tank."
Jon Kyl,Republican from Arizona,"Jon Kyl represented Arizona in the U.S. Senate from January 3,1995 to January 3, 2013. He served as the Republican party whip from 2007 to 2013. Arizona Gov. Doug Ducey appointed Kyl to succeed Sen. John McCain, who died while in office Aug. 25, 2018."
Frank Caprio,Democrat from Rhode Island,"Frank T. Caprio Jr. served as Rhode Island's general treasurer from 2007 through 2010. He ran an unsuccessful campaign for governor in 2010 and ran for treasurer again in 2014, losing in the Democratic primary. Prior to that, he served as a state senator from 1995-2006 and as a state representative from 1991 to 1994. He is married and has two children."
Progressive Choice Florida,,
Pete Hoekstra,,
Jason Haas,None from Wisconsin,Jason Haas was elected to the Milwaukee County Board in an April 2011 special election. He is a stay-at-home father.
Reince Priebus,Republican from Wisconsin,"Reince Priebus was the first chief of staff to President Donald Trump, replaced by John Kelly in July 2017. Priebus was previously chairman of the Republican National Committee, a post he assumed in 2011. He is also the former chairman of the Republican Party of Wisconsin. He was an unsuccessful Wisconsin state Senate candidate in 2004. He is a Kenosha, Wis., native and lawyer."
Austan Goolsbee,Democrat from Illinois,Austan Goolsbee is the chair of the Council of Economic Advisers. He also serves as chief economist of the President's Economic Recovery Advisory Board. Goolsbee is the Robert P. Gwinn Professor of Economics at the University of Chicago’s Booth School of Business. He was an economic adviser to Obama’s 2008 Presidential campaign.
André Carson,,
Dana Loesch,,"In 2017, Dana Loesch became an NRA spokeswoman. Loesch is a conservative talk show host and commentator. She broadcasts from Dallas, Texas."
Juan Williams,,Juan Williams is a Fox pundit.
Glenn Grothman,Republican from Wisconsin,"Republican Glenn Grothman, of the Town of Glenbeulah in Sheboygan County, was first elected to Congress in 2014 after serving 21 years in the Wisconsin Legislature. He represents the 6th Congressional District in east-central Wisconsin that includes all or parts of Ozaukee, Sheboygan, Manitowoc, Fond du Lac, Dodge, Winnebago, Columbia, Green Lake, Marquette and Waushara counties."
Lisa Moore,None from Texas,"Lisa L. Moore, who has taught in the University of Texas Department of English since 1991, joined two fellow faculty members in filing suit in 2016 against a state law permitting conceal-carry permit holders to bring handguns into university classrooms."
Cory Booker,Democrat from New Jersey,"Cory Booker is a senator from New Jersey. He was first elected to the Senate in 2013, making him the first African-American senator from New Jersey and the first African-American elected to the Senate since Barack Obama in 2004. Booker served as mayor of Newark from 2006 until 2013. He has a bachelor's degree in political science and a master’s degree in sociology from Stanford University, an honors degree in United States history from The Queens College as a Rhodes Scholar and a J.D. from Yale Law School. In 2019, he announced he is running for the Democratic nomination for president."
Mark Udall,Democrat from Colorado,"Mark Emery Udall is the senior United States Senator from Colorado and a member of the Democratic Party. From 1999 to 2009, Udall served in the United States House of Representatives, representing Colorado's 2nd congressional district"
Angus King,Independent from Maine,Angus King is a United States Senator from Maine.
Richard Clarke,,"Richard Clarke is an expert in national security and counterterrorism. He is chairman & CEO of Good Harbor, a security consulting company, and an on-air consultant for ABC News. He served in the government for about 30 years, at both the Pentagon and the White House."
PuppetStringNews.com,,A website associated with fake news.
Kendrick Meek,Democrat from Florida,"Kendrick Meek is a former U.S. Representative for Congressional District 17 in Miami, serving from 2003 to 2011. He campaigned for the U.S. Senate and was defeated on Nov. 2, 2010."
David Stockman,Republican from Connecticut,David Stockman served as budget director under President Ronald Reagan.
Jack Hanna,None from Ohio,"Jack Hanna is a longtime animal advocate and director emeritus of the Columbus (Ohio) Zoo and Aquarium. He's often appeared on television to discuss animals, including The Late Show with David Letterman and his own show, Jack Hanna's Animal Adventures."
Michael Adams,,Michael Adams is president of the University of Georgia.
Daniel McKee,Democrat from Rhode Island,"Daniel McKee is a mayor of Cumberland, R.I., who was elected Rhode Island's lieutenant governor in 2014. He served on Cumberland's town council from 1992-1998. He is a former basketball coach and has served on the board of directors of the Boys and Girls Club of Cumberland-Lincoln beginning in 1978."
David Gregory,"None from Washington, D.C.",David Gregory is a veteran broadcast journalist who is the host of NBC's long-running Sunday morning public-affairs show Meet the Press.
Ralph Mollis,Democrat from Rhode Island,"Ralph Mollis, a Democrat, was elected Rhode Island's Secretary of State in 2006 and again in 2010. He is a candidate for lieutenant governor in 2014. Mollis previously served as mayor of North Providence for 10 years."
Joni Ernst,Republican from Iowa,"Joni Ernst is a Republican senator from Iowa. A former state senator, she won the 2014 GOP primary for an open U.S. Senate seat and defeated Democratic Rep. Bruce Braley in November. She was sworn into Congress in January 2015, replacing long-time Senator Tom Harkin."
Donna Brazile,"Democrat from Washington, D.C.",A longtime Democratic political consultant and campaign manager for Al Gore’s 2000 presidential campaign. Currently a political commentator for CNN and frequent commentator on ABC's This Week with George Stephanopoulos.
Rahm Emanuel,Democrat from Illinois,"Rahm Emanuel is the mayor of Chicago. He represented the Chicagoland area as a U.S. congressman prior to joining the White House as the first chief of staff in President Barack Obama’s administration. Emanuel also held various posts in the Clinton Administration from 1993 to 1998, and worked as an investment banker in the private sector."
Heather McGhee,,"Heather C. McGhee is president of Demos, a group that believes too much political and economic power lies in the hands of too few people"
Rebecca Kleefisch,Republican from Wisconsin,"Rebecca Kleefisch, a Republican, is lieutenant governor of Wisconsin. A former TV anchor and reporter, most recently with WISN-TV in Milwaukee, she was elected in November 2010 on a ticket with Scott Walker."
Jorge Elorza,Democrat from Rhode Island,"Jorge O. Elorza was elected mayor of Providence in 2014. A professor at the Roger Williams University School of Law, he is co-founder of the Latino Policy Institute at Roger Williams University and stepped down as a judge on the Providence Housing Court in 2014 to run for mayor. He received his law degree from Harvard University in 2003, and a bachelor of science degree in accounting from the University of Rhode Island."
