author;title;description;type
Jonathan Turley;nan;Jonathan Turley is the Shapiro professor of public interest law at George Washington University.;
National Republican Congressional Committee;The PolitiFact scorecard;National Republican Congressional Committee;
Steven King;nan;Steven J. King is a 1988 University of Rhode Island graduate and an Army veteran. He has worked at Quonset Business Park since 1998, serving as chief operating officer and, since 2008, managing director.;
Steve Acenbrak;None from Georgia;Steve Acenbrak first joined the City of Roswell as its Deputy Transportation Director in 2001. He has more than 28 years of engineering and management experience, according to the city's website. Acenbrak served as Roswell’s Transportation Director from 2002 – 2006. He returned on October 20, 2008, after working two years as the Director of Civil Engineering for Pond & Company.;
Alex Jones;nan;Alex Jones is a conservative radio show host based in Austin, Texas. He hosts The Alex Jones Show and runs InfoWars.com, a website known to traffic in fake news and conspiracy theories.;
Bill Kristol;None from Washington, D.C.;Bill Kristol is the editor at large of the Weekly Standard, a conservative magazine. He previously served as chief of staff to Vice President Dan Quayle during the Bush administration and to Secretary of Education William Bennett under President Reagan.;
Michelle Wolf;None from New York;Michelle Wolf is a comedian who has appeared on Comedy Central's The Daily Show and hosts a Netflix show, The Break with Michelle Wolf.;
Christine Lagarde;nan;Christine Lagarde is managing director of the International Monetary Fund.;
Arianna Huffington;nan;Arianna Huffington founded the liberal news website Huffingtonpost.com, which she sold to AOL in 2011 for $315 million. In 2003, she unsuccessfully ran for governor of California.;
Paul Wolfowitz;None from New York;Paul Wolfowicz is the former U.S. Deputy Secretary of Defense under the George W. Bush adminstration.;
Peter Morici;nan;Peter Morici is a professor of economics at the Smith School of Business, University of Maryland. Prior to joining the university, he served as director of the Office of Economics at the U.S. International Trade Commission.;
Christina Romer;nan;Christina Romer is the former chair of the Council of Economic Advisers under President Barack Obama.;
Vincent Prieto;nan;Vincent Prieto is a Democratic assemblyman who represents parts of Bergen and Hudson counties. Prieto serves as chairman of the Assembly Budget Committee.;
Doris Kearns Goodwin;None from Massachusetts;Doris Kearns Goodwin is a historian and author. Her books include Lyndon Johnson and The American Dream, The Fitzgeralds and The Kennedys, No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II, Wait Till Next Year: A Memoir, and Team of Rivals: The Political Genius of Abraham Lincoln.;
Stephen Miller;nan;Stephen Miller is a senior adviser to President Donald Trump. He wrote many of Trump's daily speeches toward the end of the 2016 presidential campaign. Previously he worked in the Senate office of Alabama Republican Jeff Sessions, who became Trump's attorney general in 2017.;
Andy Gronik;nan;Democrat Andy Gronik, a businessman who lives in the Milwaukee suburb of Fox Point, announced in July 2017 that he would run for governor of Wisconsin in 2018 in his first run for public office. He dropped out of the race on June 21, 2018.;
Calvine Rollins;None from Georgia;Calvine Rollins is president of the Georgia Association of Educators.;
Steve Case;nan;Steve Case is the co-founder and former CEO of America Online (AOL).;
Doonesbury;nan;Doonesbury is a Pulitzer Prize-winning comic strip by G.B. Trudeau.;
Bob Seger;None from Michigan;Bob Seger is a singer-songwriter and a member of the Rock and Roll Hall of Fame.;
Anthony Tata;nan;Anthony Tata is a former Army brigadier general and deputy commanding general of U.S. forces in Afghanistan from 2006-07. He regularly comments on national security to the media, and he is also a novelist.;
Chris Wallace;nan;"Chris Wallace is the host of ""Fox News Sunday.""";
Keep the Promise 1 PAC;nan;Keep the Promise 1 is a PAC supporting Ted Cruz for president.;
James Parisi;Labor leader from Rhode Island;James Parisi is a field representative and lobbyist for the Rhode Island Federation of Teachers and Health Professionals, a union with about 10,000 members in Rhode Island.;
Stephen Hayes;nan;Stephen Hayes is a senior writer at the Weekly Standard, a conservative magazine, and author of The Connection: How al Qaeda's Collaboration with Saddam Hussein Has Endangered America.;
Robin Wright;None from Washington, D.C.;Robin Wright is a veteran diplomatic correspondent who is currently a senior fellow at the U.S. Institute of Peace.;
Charlie Hales;None from Oregon;Charlie Hales was a Portland city commissioner, serving from 1993 through 2002. After leaving the City Council, he joined HDR Engineering as senior vice president, working on new light rail and streetcar lines.;
Liberals Are Cool;nan;Liberals are cool is a website featuring articles, memes and humor items with a Democratic bent.;
Jay Inslee;nan;Jay Inslee is the governor of Washington. He was elected as governor in 2012. From 1993 to 1995, Inslee represented Washington’s 4th Congressional District. He represented Washington’s 1st Congressional District from 1999 to 2012. While representing the 1st district, he served on the Committee on Energy and Commerce. Inslee received his bachelor’s degree in economics and a J.D. from Willamette University School of Law. In 2019, he announced he is running for the Democratic nomination for president.;
Edward Markey;nan;Edward Markey was elected to the U.S. Senate from Massachusetts in 2013 and previously served in the U.S. House of Representatives.;
Robert Malin;Activist from Rhode Island;Robert Malin is a musician and documentary filmmaker from Charlestown. He is active on social justice issues such as poverty and homelessness.;
Gene Sperling;nan;Gene Sperling is the director of the National Economic Council for President Barack Obama.;
Craig Thompson;State official from Wisconsin;Craig Thompson was tapped by Gov. Tony evers to serve as secretary of the Wisconsin Department of Transportation (WisDOT) beginning in January 2019.;
Teresa Ghilarducci;None from New York;Teresa Ghilarducci is the Bernard L. and Irene Schwartz Chair in Economic Policy Analysis at the New School for Social Research in New York City.;
Diane Hurley;Business leader from Rhode Island;Diane Hurley is chief executive officer of Newport Grand in Newport. She has worked in various capacities at the business, which her family owns, since it opened in 1976.;
David Plouffe;nan;David Plouffe is a senior adviser to President Barack Obama. He also managed President Obama’s 2008 presidential campaign.;
Greenville Gazette;None from Unknown;The Greenville Gazette, a website, appears to collect and repackage news and feature stories.;
Bill Gates;nan;Bill Gates is the co-founder of Microsoft and helped launced the Bill & Melinda Gates Foundation.;
Brent Larkin;None from Ohio;Brent Larkin writes a weekly column for The Plain Dealer's Forum section on Sundays. From 1991 until his retirement in 2009, he was director of The Plain Dealer's editorial page.;
Steve McQueen;nan;Steve McQueen is the director of the Academy Award-winning film 12 Years a Slave.;
Rex Tillerson;nan;Rex Tillerson is the former CEO of Exxon Mobil. On Feb. 1, 2017, he was sworn in as President Donald Trump's secretary of state. On March 13, 2018, Trump fired Tillerson and replaced him with CIA director Mike Pompeo.;
World Food Program;nan;The United Nations World Food Programme delivers emergency food relief and develops the capacity of nations to feed their people around the world.;
Jeffrey Grybowski;Business leader from Rhode Island;Jeffrey R. Grybowski has been involved with the Deepwater Wind project since 2008, first as an outside lawyer then, as of 2012, chief executive officer. Grybowski formerly was policy director and chief of staff for Rhode Island Governor Donald Carcieri.;
Dorothy Brown;nan;Dorothy Brown is Clerk of the Circuit Court of Cook County, Illinois. She is running for mayor of Chicago.;
Lamar McKay;nan;Lamar McKay is chairman and president of BP America.;
Colin Powell;nan;Colin Powell is a former four-star general in the U.S. Army who served as Secretary of State under President George W. Bush.;
Jamie Oliver;nan;"Jamie Oliver is a celebrity chef and nutrition advocate. His ABC reality series, ""Jamie Oliver's Food Revolution"" --in which he tried to transform the eating habits of the residents of Huntington, W.V., won an Emmy award.";
Kelli Ward;nan;Kelli Ward, a former state senator, is running for John McCain's U.S. Senate seat in the 2016 election cycle.;
David Dooley;State official from Rhode Island;David Dooley is the president of the University of Rhode Island.;
Tavis Smiley;None from California;Tavis Smiley is the host of the late-night television talk show Tavis Smiley on PBS and The Tavis Smiley Show from Public Radio International (PRI).;
Chuck Todd;nan;Chuck Todd is a political analyst and reporter for NBC and MSNBC.;
Sensible Transportation Solutions for Austin PAC;None from Texas;The Sensible Transportation Solutions for Austin PAC urged voters to reject Proposition 1 on the November 2016 ballot. Its treasurer was Michael Levy of Austin.;
Kirsten Powers;nan;Kirsten Powers is a columnist for USA Today and the Daily Beast, and a Fox News contributor. Powers is a former Democratic operative.;
Donald Trump Jr.;nan;Donald Trump Jr. is the son of President Donald Trump and his former wife Ivana Trump.;
Philip Keefe;Labor leader from Rhode Island;Philip Keefe is president of the Service Employees International Union, Local 580.;
Richard Paglia;nan;Richard Paglia is a vice president of Houston-based Spectra Energy. His office is in Waltham, Mass.;
Dan Micciche;None from Texas;Dan Micciche, an attorney, is a member of the Dallas school board.;
Gordon Hintz;nan;Wisconsin state Rep. Gordon Hintz, D-Oshkosh, was elected to the state Assembly in 2006. In September 2017, his colleagues elected him minority leader of the Assembly.;
Carl Levin;nan;Carl Levin is a Democratic senator from Michigan and the chairman of the Senate Armed Services Committee.;
Lee Camp;nan;Lee Camp is a comedian and writer, who hosts Redacted Tonight with Lee Camp on RT America.;
John Kennedy;nan;John Kennedy is a spokesman for Hartsfield-Jackson International Airport.;
Josh Fox;nan;"Josh Fox is a film director and environmental activist and director of the Oscar-nominated film ""Gasland.""";
Ross Douthat;nan;Ross Douthat is a conservative columnist for the New York Times;
Susana Mendoza;nan;Susana Mendoza is the Illinois comptroller. Mendoza served in the Illinois House of Representatives from 2001-2010, before becoming the first woman to be elected city clerk of Chicago in February 2011. She is currently running for mayor of Chicago.;
Laura Ingraham;nan;Laura Ingraham is a conservative broadcaster and commentator. On April 13, 2014, she was named an ABC News contributor.;
David Sweetser;nan;David C. Sweetser is  the founder and principal of Massachusetts-based High Rock Development LLC. The company owns the Industrial National Bank Building in downtown Providence.;
Henry Kissinger;nan;Kissinger served as Secretary of State in the administration of President Richard Nixon.;
Joe Leibham;nan;Wisconsin state Sen. Joe Leibham, R-Town of Sheboygan, was elected to the state Assembly in 1998 and to the Senate in 2002. He was an unsuccessful candidate in the Aug. 12, 2014 Republican primary for the 6th District congressional seat.;
Greg Gutfeld;nan;Greg Gufeld is a co-host on the Fox News program The Five.;
Dan Kaufman;nan;Musician and writer Dan Kaufman is a Wisconsin native now living in Brooklyn, N.Y. He works as a freelance fact checker for the New York Times.;
Julia Sass Rubin;None from New Jersey;Julia Sass Rubin is a spokeswoman for the advocacy group Save Our Schools NJ. She also is an associate professor at the Edward J. Bloustein School of Planning and Public Policy at Rutgers University.;
Joe Davis, Sr.;None from Wisconsin;Joe Davis, Sr. is a Milwaukee alderman representing the 2nd District on the city's northwest side. he has announced a bid for Milwaukee mayor in spring of 2016.;
Thomas Lindsay;None from Texas;Thomas K. Lindsay, who joined the Texas Public Policy Foundation in September 2012, is a past president of Shimer College in Chicago and previously worked for the National Endowment for the Humanities and at the University of Dallas, according to his foundation biography. .;
Liberal Blogger;nan;Liberal blogger;
Jack Conners;nan;Former state Assemblyman Jack Conners, a Democrat, served in the Assembly from 1998 to when he retired in August 2011. He currently serves as director of the Office of Veterans Affairs in Camden County.;
Ian Bremmer;None from New York;Ian Bremmer is president and founder of the Eurasia Group, an international research and consulting firm, as well as a professor at New York University.;
Patrick Morrisey;The PolitiFact scorecard;Patrick Morrisey is the attorney general of West Virginia. Morrisey is running for the West Virginia U.S. Senate seat.;
Michael Moore;The PolitiFact scorecard;"Michael Moore directed the movie ""Capitalism: A Love Story"" and is a well-known documentary filmmaker. His movies includes ""Roger and Me,"" ""Bowling for Columbine,"" ""Fahrenheit 9/11,"" and ""Sicko."" He won the Academy Award for best documentary in 2002 with ""Bowling for Columbine,"" and he was a nominee in 2007 for ""Sicko."" Michael Moore's Web site is www.MichaelMoore.com.";
Jody Conradt;None from Texas;Jody Conradt coached the University of Texas women's basketball team for 31 years.;
Theresa Price;Activist from Rhode Island;Theresa Price is a board member of Direction Action for Rights and Equality (DARE).;
Albert Papp Jr.;None from New Jersey;Albert Papp Jr. is president of the New Jersey Association of Railroad Passengers, a transportation advocacy group founded in 1980.;
Mallard Fillmore;nan;"Nationally syndicated comic strip with a conservative viewpoint drawn by Bruce Tinsley. It began in 1994 and stars the eponymous duck, ""a seasoned, rumpled ex-newspaper reporter"" who ""loves to question his colleagues' more liberal-minded views about current affairs,"" according to the strip's website, www.mallardfillmore.com.";
The Associated Press;nan;The Associated Press, major news organization.;
Jeff Tittel;nan;Jeff Tittel is the director of the New Jersey chapter of the Sierra Club.;
Defend Arizona;nan;Defend Arizona is a political action committee. The conservative group says it stands for lower taxes, limited government, a strong military and secure borders.;
Marcus Low;nan;Marcu Low is the policy director for the Treatment Action Campaign, based in Johannesburg, South Africa.;
Infowars;nan;Infowars is a conspiracy oriented website run by Alex Jones.;
Jobs Ohio;None from Ohio;JobsOhio is a corporate non-profit set up by the state of Ohio to create jobs and build the state's economy.;
Matt Flynn;nan;Milwaukee attorney Matt Flynn announced in October 2017 that he is running for the Democratic nomination for governor of Wisconsin in the 2018 election. A former chairman of the Wisconsin Democratic Party, Flynn lost bids for the U.S. Senate in 1986 and 1988 and was defeated in contests for the U.S. House of Representatives in 1978 and 2004.;
Leon Young;nan;Rep. Leon Young, a Milwaukee Democrat, was elected to the Wisconsin Assembly in 1992.;
Jenna Fischer;None from California;"Jenna Fischer is an actress, most famous for her role as Pam Beesly in ""The Office.""";
Al Jazeera America;nan;Al Jazeera America is a cable news network that launched in the U.S. in 2013.;
Paul Stekler;None from Texas;Paul Stekler, an award-winning documentary filmmaker, chairs the University of Texas Department of Radio-Television-Film.;
Terry Lawler;None from Georgia;Terry Lawler, a former state lawmaker, is executive director of the Regional Business Coalition of Metropolitan Atlanta;
Republican News;nan;A blog with Republican-oriented news.;
Fix Austin Schools;nan;Fix Austin Schools organized in Austin to urge school district residents to support a four-part, $892 million bond package on the May 11, 2013, ballot.;
Brent Barton;nan;Brent Barton is an attorney and former state representative.;
AFSCME;The PolitiFact scorecard;AFSCME, the American Federation of State, County and Municipal Employees, is the largest public employee and health care workers union in the United States.;
Nancy Gordeuk;None from Georgia;Nancy Gordeuk is the founder of TNT Academy, a non-traditional educational center in Gwinnett County, Georgia;
Keith Stokes;State official from Rhode Island;Keith Stokes, until 2012, was executive director of the Rhode Island Economic Development Corporation and a former board member of the EDC.;
John Calipari;nan;John Calipari is the head coach of the University of Kentucky men's basketball team.;
Sheila Resseger;None from Rhode Island;Sheila Resseger, of Cranston, Rhode Island, is a retired teacher who taught at the Rhode Island School for the Deaf.;
Eva Longoria;nan;Actress Eva Longoria, who describes herself on Twitter as an activist as well as an actress, was named one of 35 national co-chairs of President Barack Obama's 2012 re-election campaign.;
Sally Bethea;nan;Sally Bethea is the founding director of nonprofit Upper Chattahoochee Riverkeeper,;
Talgo Inc.;nan;Talgo Inc. is a Spain-based manufacturer of trains with operations in the United States. The company opened a Milwaukee factory, but plans to close the manufacturing operation once current and planned work is done. It had hoped to build trains for a federally funded Milwaukee-Madison rail link. That $810 million has been redistributed to other states.;
Bono;nan;Bono is the frontman of the rock group U2 and co-founder of the ONE Campaign.;
Kasim Reed;The PolitiFact scorecard;Kasim Reed is Mayor of Atlanta.;
NextGen Climate;nan;Billionaire environmentalist Tom Steyer's political action committee, which is non-partisan and attacks politicians who the 501(c)(4) sees as espousing anti-environmental policies.;
Gary Kelly;nan;Gary Kelly is the chief executive officer of Dallas-based Southwest Airlines.;
Americans for Job Security;nan;"Americans for Job Security is a conservative-leaning issue advocacy group that favors ""free markets and pro-paycheck public policy.""";
Tom Kean Jr.;nan;Tom Kean Jr. is the Republican leader in the New Jersey State Senate. He represents parts of Morris, Somerset and Union counties.;
Raymond Lesniak;nan;State Sen. Raymond Lesniak is a Democrat representing parts of Union County.;
Rees Lloyd;None from Oregon;Rees Lloyd is an attorney who contributes to the blog of Portland talk-radio host Victoria Taft.;
Americans for Prosperity;The PolitiFact scorecard;Americans for Prosperity is a conservative group advocates for limited government, free markets and fiscal and regulatory restraint.;
Jay Carney;None from District of Columbia;Jay Carney, the White House press secretary, was formerly employed by TIME magazine and CNN, according to a TIME biographical post.;
Kellyanne Conway;nan;Kellyane Conway is a White House counselor to President Donald Trump. Previously, she was a Republican strategist and pollster who served as campaign manager for Trump's 2016 presidential campaign.;
Andy Duyck;None from Oregon;Andy Duyck was born on a farm outside Hillsboro and has served as a Washington County commissioner since 1994. He was sworn in as board chairman in January 2011.;
Progress Texas;None from Texas;"On its website, Progress Texas describes itself as a ""nonprofit communications hub that educates the public about politicians, policies and organizations that have a direct impact on the everyday lives of Texans."" Its mission, according to the website, is ""to provide a strong, credible and enduring progressive voice that will ensure more inclusive, just and sustainable policies for Texas.""";
Georgia State Road and Tollway Authority;nan;nan;
Matt Adamczyk;nan;Republican Matt Adamczyk was elected Wisconsin state treasurer in 2014.;
Thom Hartmann;nan;Thom Hartmann is a liberal TV and radio talk show host. He hosts The Big Picture, which airs on RT.;
Dick Morris;nan;Dick Morris is a former advisor to President Clinton. He is now an ardent Clinton-basher and Fox News contributor.;
Rick McAllister;None from Georgia;Rick McAllister is president of the Georgia Retailers Association.;
Penny Bernard Schaber;nan;Penny Bernard Schaber was elected to the Wisconsin Assembly in 2008. The Appleton Democrat is a retired physical therapist.;
Tim Sheehy;nan;Tim Sheehy is president of the Metropolitan Milwaukee Association of Commerce.;
Wisconsin Department of Transportation;None from Wisconsin;The Wisconsin Department of Transportation includes the DSepartment of Motor Vehicles.;
Patriotnetwork.one;nan;Patriotnetwork.one is a website that posts news critical of Muslims and on other topics.;
Grover Fugate;State official from Rhode Island;Grover Fugate is executive director of the Rhode Island Coastal Resources Management Council, a state agency whose mission is to protect the state’s coastline.;
George Takei;nan;George Takei is an actor known for playing Mr. Sulu on Star Trek. He now has a large online following and often speaks out on political issues.;
Rodney Frelinghuysen;nan;Rodney Frelinghuysen is a Republican Congressman representing New Jersey's 11th district, which includes all of Morris County and parts of Sussex, Somerset, Passaic, and Essex counties.;
David Madland;nan;David Madland is the director of the American Worker Project for the liberal-leaning Center for American Progress.;
Online petition;None from Rhode Island;Stop the Mass Killings of Coyotes is an online petition circulated on Rhode Island's Aquidneck Island. It follows approval by the Middletown Town Council to authorize a hunter to kill coyotes, following complaints from residents.;
Building a Better Ohio;None from Ohio;Building a Better Ohio is a political action committee promoting passage of Issue 2 in Ohio. Passage of the state issue would allow provisions of Senate Bill 5, a law overhauling collective bargaining rules for public workers in Ohio, to be implemented.;
Chris Kennedy;nan;Chris Kennedy is a businessman and a son of former U.S. Senator Robert F. Kennedy.;
Lee Holloway;None from Wisconsin;Lee Holloway is the chairman of the Milwaukee County Board of Supervisors. He represents the county's 5th District, which encompasses parts of Milwaukee's north side. He was elected to the board in 1992 and has served as chairman since 2004.;
Tom Graves;The PolitiFact scorecard;Tom Graves represents Georgia's 9th Congressional District.;
New Century Times;nan;New Century Times is a website and news aggregator.;
City of Atlanta;nan;City of Atlanta;
Troy LaRaviere;nan;Troy LaRaviere is the president of the Chicago Principals and Administrators Association and a former principal of a Chicago elementary school.;
Empower Texans;None from Texas;A nonprofit and political action committee that advocates for limited government.;
Raj Shah;nan;Raj Shah is the president of the Rockefeller Foundation and former USAID administrator.;
Roger Falk;None from Texas;Roger Falk, an Austin resident, has been a volunteer with the Travis County Taxpayers Union.;
Starbucks;nan;Seattle-based Starbucks is a coffee company.;
Nowtrump.com;nan;Nowtrump.com is a pro-Trump fake news website.;
Laurence Tribe;None from Massachusetts;Laurence H. Tribe is the Carl M. Loeb university professor and professor of constitutional law at Harvard University. He has taught at Harvard Law School since 1968.;
Meria Carstarphen;None from Texas;Meria Joel Carstarphen, superintendent of the Austin Independent School District, was previously superintendent of the Saint Paul (Minn.) Public Schools.;
Rainbow/PUSH Coalition;nan;The Rainbow PUSH Coalition is a civil rights organization founded by Jesse Jackson. It is based in Chicago.;
We Are Ohio;None from Ohio;We Are Ohio is a citizen-driven, community-based, bipartisan coalition that has come together to repeal Senate Bill 5 in Ohio. The legislation would overhaul rules for collective bargaining by public employees.;
Ben Affleck;nan;Ben Affleck is an Oscar-winning actor, producer, director and screenwriter whose film career includes Argo and Gone Girl. He is a member of the Democratic Party and co-founded the Eastern Congo Initiative. He is married to actress Jennifer Garner.;
Bob Buckhorn;None from Florida;Bob Buckhorn is making his second run for mayor in Tampa's nonpartisan elections on March 1, 2011. He previously served on the City Council from 1995-2003.;
Oregon PTA;nan;The Oregon PTA is the largest network of parents in Oregon.;
Kevin Nicholson;nan;Republican Kevin Nicholson, a former Marine, announced in July 2017 that he would run in 2018 for the seat held by U.S. Sen. Tammy Baldwin, D-Wis. He is a business consultant who lives in Delafield, Wis.;
Gene McIntyre;nan;Keizer resident Gene McIntyre is a frequent guest columnist and letters writer to newspaper editors.;
Eva Marie Mancuso;State official from Rhode Island;Lawyer Eva Marie Mancuso has been chairwoman of the Rhode Island Board of Education since 2013. A former assistant attorney general now in private practice, she spent two years as a member of the board's predecessor, the Board of Governors for Higher Education.;
Rana Foroohar;nan;Rana Foroohar is the assistant managing editor for Time magazine.;
Freedom Daily;nan;"Freedom Daily bills itself as “a forum for discussing meaningful conservative American and world news.""";
John Scocos;nan;John Scocos is the secretary of the Wisconsin Department of Veterans Affairs.;
Deborah Gist;State official from Rhode Island;Deborah A. Gist has been Rhode Island's education commissioner since 2009. She had previously been the education chief in Washington, D.C.;
Herb Garrett;None from Georgia;Herb Garrett is the executive director of the Georgia School Superintendents Association.;
Jerry Jones;None from Texas;Jerry Jones has been the owner of the Dallas Cowboys football team since 1989.;
AFSCME People;nan;AFSCME People is the political action fund for the American Federation of State, County and Municipal Employees -- one of the nation’s largest public service worker unions.;
Todd Starnes;nan;Todd Starnes is a conservative columnist and radio show host.;
Larry Kilgore;nan;Since 2004, Larry Kilgore of Arlington has run as a pro-secession candidate for Texas offices including governor and U.S. senator.;
Charlie Justice;nan;Sen. Charlie Justice is a Democrat representing St. Petersburg.;
Chris Abele;The PolitiFact scorecard;Chris Abele is Milwaukee County Executive, a position he won in an April 2011 special election to finish out the final year of the term of Scott Walker, who was elected governor in November 2010. The election was the first attempt at political office for Abele, a Milwaukee philanthropist and business owner. The office is nonpartisan, but Abele has indicated he is a Democrat.;
Jeffrey Hernandez;nan;Jeffrey Hernandez is the chief executive officer of National Academic Educational Partners.;
Steve Moore;nan;Steve Moore is an editorial board member and senior economics writer at The Wall Street Journal.;
Metro Atlanta Voter Education Network;nan;The Metro Atlanta Voter Education Network is a coalition of businesses and civic groups that is running a public information campaign to educate voters about a July 2012 transportation referrendum.;
Rhode Island Tea Party;nan;The Rhode Island Tea Party describes itself as a liberty movement dedicated to the core values of the U.S. Constitution: limited government, fiscal and personal responsibility, and individuals rights.;
William Barber;Activist from North Carolina;Rev. William Barber is the president of the North Carolina NAACP.;
One New Jersey;nan;One New Jersey is a 501(c)4 advocacy organization that opposes Gov. Chris Christie's policies.;
U.S. Chamber of Commerce;The PolitiFact scorecard;"From the chamber's Web site: ""The U.S. Chamber of Commerce is the world's largest business federation representing 3 million businesses of all sizes, sectors, and regions, as well as state and local chambers and industry associations. More than 96% of U.S. Chamber members are small businesses with 100 employees or fewer.""";
 Save Our City, Milwaukeeans Can't Wait;nan;Save Our City, Milwaukeeans Can't Wait registered with the City of Milwaukee in July 2017 as a political committee seeking to recall Milwaukee Mayor Tom Barrett.;
Robert Flanders;State official from Rhode Island;Robert G. Flanders Jr. is a former Rhode Island Supreme Court justice, former chairman of the Rhode Island Board of Regents for Elementary and Secondary Education, and former receiver for the city of Central Falls.;
Erick Erickson;nan;Erick Erickson is editor of popular conservative blogs RedState.com and PeachPundit.com.;
Beverly Hall;nan;Beverly Hall is former Superintendent for Atlanta Public Schools.;
Sly James;None from Missouri;mayor of Kansas City Mo.;
Florida Chamber of Commerce;None from Florida;The Florida Chamber of Commerce is a business group that is supporting a series of proposed education reforms that would tie teacher pay increases to student performance.;
Cynthia Lummis;nan;Cynthia Lummis is a Republican U.S. Representative from the state of Wyoming.;
Michael Long;Conservative from New York;Mike Long is the chairman of the Conservative Party of New York State.;
Mayors Against Illegal Guns;nan;Mayors Against Illegal Guns describes itself as a coalition of U.S. mayors that works to help law enforcement target illegal guns.;
Melissa Melendez;nan;California State Assemblywoman Melissa Melendez is a Republican and represents western Riverside County.;
Georgia Department of Economic Development;nan;The Georgia Department of Economic Development plans,manages and mobilizes state resources to attract new business investment to Georgia, drive the expansion of existing industry and small business, locate new markets for Georgia products, inspire tourists to visit Georgia and promote the state as a top destination for arts events and film, music and digital entertainment projects.;
Jim Durrett;nan;Jim Durrett is Board Chairman of the Metropolitan Atlanta Rapid Transit Authority.;
Texas Campaign for the Environment;None from Texas;Texas Campaign for the Environment describes itself as a grassroots group that envisions a Texas free of pollution.;
Amanda Fritz;nan;Amanda Fritz is a Portland city commissioner.;
Robert Mujica;State official from New York;Robert Mujica is the Director of the State Division of Budget under Gov. Andrew M. Cuomo.;
Tom Toles;nan;Tom Toles is the editorial cartoonist at the Washington Post. He won the Pultizer Prize for Editorial Cartooning in 1990.;
YourNewsWire.com;The PolitiFact scorecard;A website associated with fake news.;
Stokes County school teacher;None from North Carolina;His Facebook post went viral.;
Providence City Council;nan;The Providence City Council is the 15-member legislative body in Providence, R.I. Since 2010 it has consisted of all Democrats, including two women.;
No Casinos;None from Florida;No Casinos is a group that opposes the expansion of gambling.;
Marina Dimitrijevic;nan;"Marina Dimitrijevic is the director of the Wisconsin Working Families Party. She's also a Milwaukee County supervisor and previously served as chairwoman of the Milwaukee County Board of Supervisors. Voters elected her to a Milwaukee County supervisor's post in 2004; in 2012, her fellow supervisors elected her to lead the board. She was an unsuccessful candidate in the Aug. 12, 2014 Democratic primary for the 19th District seat in the state Assembly.";
Mike Bodker;nan;Mike Bodker is mayor of Johns Creek.;
Greg Morris;nan;Greg Morris, a Republican, is a member of the Georgia House of Representatives. Born and raised in Vidalia, he communities in parts of Appling, Jeff Davis, Montgomery, and Toombs counties.;
Michael Rosen;None from Wisconsin;Michael Rosen is an economics instructor at Milwaukee Area Technical College. He  is also president of the union representing MATC faculty and staff. He also is a blogger.;
Nancy Jester;None from Georgia;Nancy Jester is a former member of the DeKalb County School Board;
Vicki Shabo;nan;Vicki Shabo is the director of work and family programs at the National Partnership for Women and Families.;
American Bridge 21st Century;nan;American Bridge 21st Century is a Democratic super PAC.;
Amy Hanauer;None from Ohio;Amy Hanauer is the founding executive director of Policy Matters Ohio, a policy research institute that examine issues that matter to working families in Ohio. Policy Matters Ohio was founded in January 2000. In 2008, Nation magazine named it the most valuable state or regional organization in the country.;
Jennette Gayer;nan;Jennette Gayer is staff advocate for Environment Georgia;
Jennifer Beck;nan;Jennifer Beck is a New Jersey State Senator. A Republican, she represents parts of Monmouth County.;
Paul Babeu;nan;Paul Babeu has been Sheriff of Pinal County in Arizona since he was first elected in 2008.;
Anna Kooiman;nan;Anna Kooiman is a co-host of Fox & Friends Weekend.;
Nicholas Kristof;nan;Nicholas Kristof is a columnist for the New York Times who frequently writes about international development issues.;
Ilhan Omar;nan;Ilhan Omar is a Democratic congresswoman representing Minnesota's 5th congressional district, which includes parts of Minneapolis and surrounding municipalities.;
Great America PAC;nan;Great America PAC is a political action committee founded in 2016 to help the 2016 presidential campaign of Repbulican candidate Donald Trump.;
Mark Brodeur;State official from Rhode Island;Mark Brodeur is director of tourism at the Rhode Island Economic Development Corporation. A graduate of Johnson & Wales University in Providence, he has worked in the tourism and hospitality industry for 25 years.;
Rick Baker;None from Florida (FL);From 2001 to 2010, Rick Baker served as mayor of St. Petersburg. In 2017, Baker announced he would run for a third term;
Janet Mitchell;None from Texas;Janet Mitchell, president & CEO of The Mitchell Group Consulting, an Austin-based sales and marketing agency, has been co-chair of a task force appointed by the Austin Independent School District to study district facilities.;
BookerFail;nan;BookerFail is a website run by American Commitment, a conservative super PAC.;
Janet Bewley;nan;Democratic state Rep. Janet Bewley represents Ashland in northern Wisconsin. Elected to the Assembly in 2010, she is a former community relations officer with the Wisconsin Housing and Economic Development Authority.;
Patrick McKenna;None from Missouri;Patrick K. McKenna has been director of the Missouri Department of Transportation since Dec. 7, 2015.  Previously, he was the deputy commissioner for the New Hampshire Department of Transportation.;
John Humphries;None from Wisconsin;John Humphries, a former administrator in the Dodgeville, WI school district, is a candidate for the state's top education job, the state superintendent of schools. He is in a three-way primary. The race in nonpartisan.;
Vicki Martin;Education official from Wisconsin;Vicki Martin is president of Milwaukee Area Technical College. She was named the 10th president of the school in June of 2014, having previously served as the school's executive vice president and provost.;
